"","tr","ppt_sum_1weeklag","fit","lwrS","uprS"
"2...1","Any WASH Intervention",0,4.48447959572206,3.63483836078648,5.5213447700977
"2...2","Any WASH Intervention",0,4.48447959572206,3.64200860916955,5.51068615596677
"1599...3","Any WASH Intervention",0.00999999977648258,4.48422964450233,3.6347976139979,5.52079665837537
"1599...4","Any WASH Intervention",0.00999999977648258,4.48422964450233,3.64196625327142,5.51014131319906
"2564...5","Any WASH Intervention",0.0199999995529652,4.48397970656015,3.63475681572914,5.52024867519547
"2564...6","Any WASH Intervention",0.0199999995529652,4.48397970656015,3.64192384631501,5.50959659760745
"2759...7","Any WASH Intervention",0.0299999993294477,4.48372978189497,3.6347159659485,5.51970082058207
"2759...8","Any WASH Intervention",0.0299999993294477,4.48372978189497,3.6418813882689,5.50905200921581
"4686...9","Any WASH Intervention",0.0399999991059303,4.48347987050628,3.63467506462423,5.51915309455942
"4686...10","Any WASH Intervention",0.0399999991059303,4.48347987050628,3.64183887910163,5.50850754804823
"1412...11","Any WASH Intervention",0.0599999986588955,4.48298008755654,3.63459310721733,5.51805802838438
"1412...12","Any WASH Intervention",0.0599999986588955,4.48298008755654,3.64175370727738,5.50741900748253
"1444...13","Any WASH Intervention",0.100000001490116,4.48198068086294,3.6344285724602,5.51586944000424
"1444...14","Any WASH Intervention",0.100000001490116,4.48198068086294,3.64158274876798,5.50524345391408
"5260...15","Any WASH Intervention",0.150000005960464,4.48073172112703,3.63422173900218,5.51313660186073
"5260...16","Any WASH Intervention",0.150000005960464,4.48073172112703,3.64136789517514,5.50252687850516
"5631...17","Any WASH Intervention",0.180000007152557,4.47998250458829,3.63409701605465,5.5114984455314
"5631...18","Any WASH Intervention",0.180000007152557,4.47998250458829,3.6412383652579,5.50089846339111
"77...19","Any WASH Intervention",0.200000002980232,4.47948309337524,3.63401360737426,5.51040698636884
"77...20","Any WASH Intervention",0.200000002980232,4.47948309337524,3.64115175406647,5.49981349152366
"952...21","Any WASH Intervention",0.25,4.47823479738539,3.63380417351438,5.50768059629771
"952...22","Any WASH Intervention",0.25,4.47823479738539,3.64093432141693,5.49710329571795
"5312...23","Any WASH Intervention",0.360000014305115,4.47548971336996,3.63333881509423,5.5016939064309
"5312...24","Any WASH Intervention",0.360000014305115,4.47548971336996,3.6404514034784,5.49115211258265
"11284...25","Any WASH Intervention",0.379999995231628,4.47499078021299,3.63325352191336,5.50060710015273
"11284...26","Any WASH Intervention",0.379999995231628,4.47499078021299,3.64036292327278,5.49007174422727
"12195...27","Any WASH Intervention",0.420000001788139,4.47399307199507,3.63308230300177,5.49843503921165
"12195...28","Any WASH Intervention",0.420000001788139,4.47399307199507,3.64018533550551,5.48791254266571
"800...29","Any WASH Intervention",0.440000012516975,4.47349429730548,3.63299637680974,5.49734978578631
"800...30","Any WASH Intervention",0.440000012516975,4.47349429730548,3.64009622748991,5.48683371068914
"11908...31","Any WASH Intervention",0.449999988079071,4.47324493060514,3.63295333455107,5.4968073551463
