"","variable","tr","value","fit","lwrS","uprS"
"3073...1","temp_min_1weeklag","Any WASH Intervention",16.5578552246094,3.05920560051618,1.78651514460306,5.19062762010787
"3073...2","temp_min_1weeklag","Any WASH Intervention",16.5578552246094,3.05920560051618,1.79585425786407,5.16456284654485
"2942...3","temp_min_1weeklag","Any WASH Intervention",16.5635925292969,3.05914261269975,1.78739937266719,5.18793979825755
"2942...4","temp_min_1weeklag","Any WASH Intervention",16.5635925292969,3.05914261269975,1.79673409595234,5.16191255668819
"2988...5","temp_min_1weeklag","Any WASH Intervention",16.5699401855469,3.05907292551527,1.78837722250927,5.18497021803505
"2988...6","temp_min_1weeklag","Any WASH Intervention",16.5699401855469,3.05907292551527,1.79770708553066,5.15898442875787
"3110...7","temp_min_1weeklag","Any WASH Intervention",16.5701843261719,3.05907024526965,1.78841482272426,5.18485609115158
"3110...8","temp_min_1weeklag","Any WASH Intervention",16.5701843261719,3.05907024526965,1.79774449874425,5.15887189467305
"3152...9","temp_min_1weeklag","Any WASH Intervention",16.5849548339844,3.05890809473168,1.79068832691435,5.17796351806609
"3152...10","temp_min_1weeklag","Any WASH Intervention",16.5849548339844,3.05890809473168,1.80000668005201,5.15207547638648
"2829...11","temp_min_1weeklag","Any WASH Intervention",16.5903259277344,3.05884913307323,1.7915144105316,5.17546303796308
"2829...12","temp_min_1weeklag","Any WASH Intervention",16.5903259277344,3.05884913307323,1.80082864176883,5.1496098594481
"2840...13","temp_min_1weeklag","Any WASH Intervention",16.5908142089844,3.05884377298234,1.7915894917966,5.17523587806116
"2840...14","temp_min_1weeklag","Any WASH Intervention",16.5908142089844,3.05884377298234,1.80090334819816,5.14938586622109
"3182...15","temp_min_1weeklag","Any WASH Intervention",16.5983825683594,3.05876069290801,1.7927528812127,5.17171823709135
"3182...16","temp_min_1weeklag","Any WASH Intervention",16.5983825683594,3.05876069290801,1.80206092517683,5.14591725107891
"2745...17","temp_min_1weeklag","Any WASH Intervention",16.6004577636719,3.05873791334323,1.79307175292053,5.17075481872314
"2745...18","temp_min_1weeklag","Any WASH Intervention",16.6004577636719,3.05873791334323,1.80237820234094,5.14496725635777
"3438...19","temp_min_1weeklag","Any WASH Intervention",16.6130615234375,3.05859956565236,1.79500728631114,5.16491361792154
