"Lag Period","Variable","level","PR","CI_lb","CI_ub"
"0 Week Lag","Average Weekly Temperature","Above Median",0.57,0.46,0.72
"0 Week Lag","Average Weekly Temperature","Below Median",1.03,0.69,1.54
"1 Week Lag","Average Weekly Temperature","Above Median",0.6,0.48,0.75
"1 Week Lag","Average Weekly Temperature","Below Median",0.91,0.61,1.35
"2 Week Lag","Average Weekly Temperature","Above Median",0.56,0.43,0.74
"2 Week Lag","Average Weekly Temperature","Below Median",1.05,0.74,1.48
"3 Week Lag","Average Weekly Temperature","Above Median",0.57,0.36,0.9
"3 Week Lag","Average Weekly Temperature","Below Median",0.96,0.69,1.35
"0 Week Lag","Minimum Weekly Temperature","Above Median",0.58,0.46,0.73
"0 Week Lag","Minimum Weekly Temperature","Below Median",0.91,0.54,1.54
"1 Week Lag","Minimum Weekly Temperature","Above Median",0.63,0.5,0.79
"1 Week Lag","Minimum Weekly Temperature","Below Median",0.84,0.4,1.78
"2 Week Lag","Minimum Weekly Temperature","Above Median",0.59,0.28,1.22
"2 Week Lag","Minimum Weekly Temperature","Below Median",0.86,0.62,1.18
"3 Week Lag","Minimum Weekly Temperature","Above Median",0.56,0.36,0.87
"3 Week Lag","Minimum Weekly Temperature","Below Median",1.01,0.73,1.38
"0 Week Lag","Maximum Weekly Temperature","Above Median",0.58,0.36,0.94
"0 Week Lag","Maximum Weekly Temperature","Below Median",0.98,0.68,1.43
"1 Week Lag","Maximum Weekly Temperature","Above Median",0.6,0.48,0.75
"1 Week Lag","Maximum Weekly Temperature","Below Median",0.89,0.59,1.34
"2 Week Lag","Maximum Weekly Temperature","Above Median",0.55,0.44,0.7
"2 Week Lag","Maximum Weekly Temperature","Below Median",1.03,0.45,2.35
"3 Week Lag","Maximum Weekly Temperature","Above Median",0.56,0.45,0.72
"3 Week Lag","Maximum Weekly Temperature","Below Median",0.97,0.71,1.33
