"Lag.Period","contrast","Variable","Level","N","Risk.in.Intervention.Arm","Risk.in.Control.Arm","Risk.Ratio..95..CI.","Risk.Difference..95..CI."
"0 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"0 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"0 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,145","0.04 (0.03, 0.05)","0.07 (0.05, 0.09)","0.59 (0.44, 0.78)","-0.03 (-0.05, -0.01)"
"0 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","7,295","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.75 (0.46, 1.23)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","8,022","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.61 (0.47, 0.78)","-0.03 (-0.04, -0.01)"
"0 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","4,418","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.82 (0.55, 1.23)","-0.01 (-0.02, 0.01)"
"0 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,537","0.04 (0.03, 0.05)","0.07 (0.05, 0.09)","0.62 (0.43, 0.91)","-0.03 (-0.05, 0.00)"
"0 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","8,903","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.69 (0.54, 0.89)","-0.02 (-0.03, 0.00)"
"0 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"0 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"0 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","2,983","0.04 (0.03, 0.05)","0.07 (0.05, 0.09)","0.53 (0.39, 0.73)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","4,173","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.75 (0.51, 1.11)","-0.01 (-0.03, 0.00)"
"0 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,616","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.59 (0.45, 0.76)","-0.03 (-0.04, -0.01)"
"0 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,540","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.79 (0.50, 1.24)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","2,025","0.03 (0.02, 0.05)","0.07 (0.05, 0.09)","0.51 (0.34, 0.77)","-0.03 (-0.05, -0.01)"
"0 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,131","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.70 (0.52, 0.95)","-0.02 (-0.03, 0.00)"
"0 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"0 Week Lag","Water","Heavy Rain","Heavy Rain","2,202","0.06 (0.04, 0.08)","0.07 (0.05, 0.09)","0.80 (0.48, 1.31)","-0.01 (-0.04, 0.02)"
"0 Week Lag","Water","Heavy Rain","No Heavy Rain","3,054","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","0.97 (0.56, 1.68)","0.00 (-0.03, 0.02)"
"0 Week Lag","Water","Total Weekly Precipitation","Above Median","3,385","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.82 (0.60, 1.11)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Water","Total Weekly Precipitation","Below Median","1,871","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.07 (0.48, 2.37)","0.00 (-0.03, 0.04)"
"0 Week Lag","Water","Heavy Rain","Heavy Rain","1,509","0.07 (0.04, 0.09)","0.07 (0.05, 0.09)","0.98 (0.57, 1.68)","0.00 (-0.04, 0.03)"
"0 Week Lag","Water","Heavy Rain","No Heavy Rain","3,747","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","0.84 (0.59, 1.21)","-0.01 (-0.02, 0.01)"
"0 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"0 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"0 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,153","0.04 (0.03, 0.06)","0.07 (0.05, 0.09)","0.59 (0.38, 0.92)","-0.03 (-0.05, -0.01)"
"0 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,043","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.57 (0.32, 1.02)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","3,334","0.03 (0.02, 0.04)","0.07 (0.05, 0.08)","0.48 (0.33, 0.72)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","1,862","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.89 (0.54, 1.48)","0.00 (-0.02, 0.01)"
"0 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,504","0.04 (0.02, 0.07)","0.07 (0.05, 0.09)","0.62 (0.22, 1.71)","-0.03 (-0.07, 0.02)"
"0 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,692","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.56 (0.38, 0.82)","-0.02 (-0.04, -0.01)"
"0 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"0 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"0 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,217","0.03 (0.02, 0.05)","0.07 (0.05, 0.09)","0.46 (0.26, 0.83)","-0.04 (-0.06, -0.02)"
"0 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,013","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.73 (0.42, 1.25)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Handwashing","Total Weekly Precipitation","Above Median","3,323","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.59 (0.38, 0.93)","-0.03 (-0.05, -0.01)"
"0 Week Lag","Handwashing","Total Weekly Precipitation","Below Median","1,907","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.70 (0.43, 1.12)","-0.01 (-0.03, 0.00)"
"0 Week Lag","Handwashing","Heavy Rain","Heavy Rain","1,523","0.03 (0.02, 0.05)","0.07 (0.05, 0.09)","0.44 (0.24, 0.81)","-0.04 (-0.06, -0.01)"
"0 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,707","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.66 (0.46, 0.94)","-0.02 (-0.03, 0.00)"
"1 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"1 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"1 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,473","0.03 (0.03, 0.04)","0.07 (0.05, 0.08)","0.49 (0.35, 0.68)","-0.03 (-0.05, -0.02)"
"1 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","6,967","0.04 (0.04, 0.05)","0.04 (0.04, 0.05)","0.87 (0.60, 1.25)","-0.01 (-0.02, 0.01)"
"1 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","7,192","0.04 (0.03, 0.04)","0.06 (0.05, 0.08)","0.56 (0.44, 0.72)","-0.03 (-0.04, -0.01)"
"1 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","5,248","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.85 (0.43, 1.69)","-0.01 (-0.04, 0.02)"
"1 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,084","0.03 (0.02, 0.04)","0.08 (0.06, 0.10)","0.44 (0.27, 0.69)","-0.04 (-0.07, -0.02)"
"1 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","9,356","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.80 (0.60, 1.06)","-0.01 (-0.02, 0.00)"
"1 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"1 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"1 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","3,139","0.03 (0.02, 0.04)","0.07 (0.05, 0.08)","0.42 (0.29, 0.59)","-0.04 (-0.05, -0.02)"
"1 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","4,017","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.91 (0.65, 1.27)","0.00 (-0.02, 0.01)"
"1 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,161","0.03 (0.02, 0.04)","0.06 (0.05, 0.08)","0.47 (0.36, 0.63)","-0.03 (-0.05, -0.02)"
"1 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,995","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","0.95 (0.58, 1.53)","0.00 (-0.02, 0.02)"
"1 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","1,803","0.03 (0.01, 0.04)","0.08 (0.06, 0.10)","0.35 (0.19, 0.66)","-0.05 (-0.07, -0.03)"
"1 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,353","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.80 (0.61, 1.05)","-0.01 (-0.02, 0.00)"
"1 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"1 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"1 Week Lag","Water","Heavy Rain","Heavy Rain","2,357","0.05 (0.03, 0.07)","0.07 (0.05, 0.08)","0.69 (0.48, 1.00)","-0.02 (-0.04, 0.00)"
"1 Week Lag","Water","Heavy Rain","No Heavy Rain","2,899","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","0.98 (0.46, 2.06)","0.00 (-0.04, 0.03)"
"1 Week Lag","Water","Total Weekly Precipitation","Above Median","3,090","0.05 (0.04, 0.06)","0.06 (0.05, 0.08)","0.78 (0.56, 1.08)","-0.01 (-0.03, 0.00)"
"1 Week Lag","Water","Total Weekly Precipitation","Below Median","2,166","0.05 (0.03, 0.07)","0.05 (0.03, 0.07)","1.06 (0.48, 2.35)","0.00 (-0.04, 0.04)"
"1 Week Lag","Water","Heavy Rain","Heavy Rain","1,338","0.05 (0.03, 0.08)","0.08 (0.06, 0.10)","0.61 (0.36, 1.04)","-0.03 (-0.06, 0.00)"
"1 Week Lag","Water","Heavy Rain","No Heavy Rain","3,918","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","1.01 (0.69, 1.48)","0.00 (-0.02, 0.02)"
"1 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"1 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"1 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,295","0.03 (0.01, 0.04)","0.07 (0.05, 0.08)","0.37 (0.21, 0.64)","-0.04 (-0.07, -0.02)"
"1 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,901","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.88 (0.45, 1.72)","-0.01 (-0.03, 0.02)"
"1 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","2,981","0.03 (0.02, 0.04)","0.06 (0.05, 0.08)","0.47 (0.30, 0.74)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","2,215","0.04 (0.02, 0.06)","0.04 (0.02, 0.06)","0.75 (0.44, 1.26)","-0.01 (-0.03, 0.01)"
"1 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,299","0.03 (0.01, 0.06)","0.08 (0.06, 0.10)","0.43 (0.21, 0.87)","-0.04 (-0.08, -0.01)"
"1 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,897","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.68 (0.42, 1.10)","-0.02 (-0.04, 0.00)"
"1 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"1 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"1 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,275","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.53 (0.21, 1.38)","-0.03 (-0.07, 0.00)"
"1 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","2,955","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.70 (0.46, 1.07)","-0.01 (-0.03, 0.00)"
"1 Week Lag","Handwashing","Total Weekly Precipitation","Above Median","2,987","0.04 (0.03, 0.05)","0.06 (0.05, 0.08)","0.63 (0.39, 1.01)","-0.02 (-0.04, 0.00)"
"1 Week Lag","Handwashing","Total Weekly Precipitation","Below Median","2,243","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.65 (0.37, 1.12)","-0.02 (-0.04, 0.01)"
"1 Week Lag","Handwashing","Heavy Rain","Heavy Rain","1,317","0.03 (0.01, 0.05)","0.08 (0.06, 0.10)","0.40 (0.08, 2.01)","-0.05 (-0.10, 0.00)"
"1 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,913","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.72 (0.51, 1.03)","-0.01 (-0.03, 0.00)"
"2 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"2 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"2 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,272","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.55 (0.41, 0.73)","-0.03 (-0.05, -0.01)"
"2 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","7,168","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.84 (0.63, 1.12)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","7,139","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.57 (0.43, 0.75)","-0.03 (-0.05, -0.01)"
"2 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","5,301","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.96 (0.62, 1.49)","0.00 (-0.02, 0.01)"
"2 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,625","0.04 (0.03, 0.05)","0.06 (0.04, 0.08)","0.62 (0.32, 1.19)","-0.02 (-0.06, 0.02)"
"2 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","8,815","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.71 (0.55, 0.92)","-0.02 (-0.03, 0.00)"
"2 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"2 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"2 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","3,103","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.53 (0.38, 0.73)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","4,053","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.80 (0.54, 1.18)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,186","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.41, 0.70)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,970","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.91 (0.52, 1.59)","0.00 (-0.02, 0.02)"
"2 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","2,106","0.03 (0.02, 0.04)","0.06 (0.04, 0.08)","0.53 (0.36, 0.80)","-0.03 (-0.05, -0.01)"
"2 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,050","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.70 (0.52, 0.93)","-0.02 (-0.03, 0.00)"
"2 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"2 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"2 Week Lag","Water","Heavy Rain","Heavy Rain","2,274","0.05 (0.03, 0.07)","0.07 (0.06, 0.09)","0.68 (0.38, 1.23)","-0.02 (-0.06, 0.01)"
"2 Week Lag","Water","Heavy Rain","No Heavy Rain","2,982","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","1.08 (0.72, 1.62)","0.00 (-0.02, 0.02)"
"2 Week Lag","Water","Total Weekly Precipitation","Above Median","3,021","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.76 (0.48, 1.20)","-0.02 (-0.04, 0.01)"
"2 Week Lag","Water","Total Weekly Precipitation","Below Median","2,235","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.24 (0.61, 2.54)","0.01 (-0.02, 0.04)"
"2 Week Lag","Water","Heavy Rain","Heavy Rain","1,573","0.05 (0.02, 0.07)","0.06 (0.04, 0.08)","0.74 (0.45, 1.21)","-0.02 (-0.04, 0.01)"
"2 Week Lag","Water","Heavy Rain","No Heavy Rain","3,683","0.05 (0.04, 0.07)","0.05 (0.04, 0.07)","0.94 (0.66, 1.35)","0.00 (-0.02, 0.02)"
"2 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"2 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"2 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,248","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.51 (0.32, 0.80)","-0.04 (-0.06, -0.02)"
"2 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,948","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.73 (0.48, 1.12)","-0.01 (-0.03, 0.00)"
"2 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","3,004","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.48 (0.31, 0.74)","-0.04 (-0.05, -0.02)"
"2 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","2,192","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.91 (0.51, 1.65)","0.00 (-0.02, 0.02)"
