"Lag.Period","contrast","Variable","Level","N","Risk.in.Intervention.Arm","Risk.in.Control.Arm","Risk.Ratio..95..CI.","Risk.Difference..95..CI."
"0 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,639","0.04 (0.04, 0.05)","0.07 (0.06, 0.09)","0.57 (0.46, 0.72)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,763","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","1.03 (0.69, 1.54)","0.00 (-0.01, 0.01)"
"0 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,495","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.58 (0.46, 0.73)","-0.03 (-0.04, -0.01)"
"0 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","4,907","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.91 (0.54, 1.54)","0.00 (-0.02, 0.02)"
"0 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,669","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.58 (0.36, 0.94)","-0.03 (-0.06, 0.00)"
"0 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","4,733","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.98 (0.68, 1.43)","0.00 (-0.01, 0.01)"
"0 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,440","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.41, 0.71)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,678","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.99 (0.60, 1.64)","0.00 (-0.02, 0.02)"
"0 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,341","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.53 (0.40, 0.71)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,777","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.95 (0.53, 1.70)","0.00 (-0.02, 0.02)"
"0 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,457","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.42, 0.73)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,661","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.93 (0.56, 1.56)","0.00 (-0.02, 0.02)"
"0 Week Lag","Water","Average Weekly Temperature","Above Median","3,247","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.74 (0.54, 1.02)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Water","Average Weekly Temperature","Below Median","1,999","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.36 (0.80, 2.32)","0.01 (-0.01, 0.03)"
"0 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,137","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.79 (0.57, 1.11)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Water","Minimum Weekly Temperature","Below Median","2,109","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.11 (0.62, 1.99)","0.00 (-0.02, 0.03)"
"0 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,231","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.76 (0.55, 1.05)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,015","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.34 (0.77, 2.31)","0.01 (-0.01, 0.04)"
