"","Lag Period","contrast","Variable","Level","N","Risk in Intervention Arm","Risk in Control Arm","Risk Ratio (95% CI)","Risk Difference (95% CI)"
"1","2 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"2","2 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"3","2 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,272","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.55 (0.41, 0.73)","-0.03 (-0.05, -0.01)"
"4","2 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","7,168","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.84 (0.63, 1.12)","-0.01 (-0.02, 0.01)"
"5","2 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","7,139","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.57 (0.43, 0.75)","-0.03 (-0.05, -0.01)"
"6","2 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","5,301","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.96 (0.62, 1.49)","0.00 (-0.02, 0.01)"
"7","2 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,625","0.04 (0.03, 0.05)","0.06 (0.04, 0.08)","0.62 (0.32, 1.19)","-0.02 (-0.06, 0.02)"
"8","2 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","8,815","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.71 (0.55, 0.92)","-0.02 (-0.03, 0.00)"
"9","2 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"10","2 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"11","2 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","3,103","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.53 (0.38, 0.73)","-0.03 (-0.05, -0.02)"
"12","2 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","4,053","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.80 (0.54, 1.18)","-0.01 (-0.02, 0.01)"
"13","2 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,186","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.41, 0.70)","-0.03 (-0.05, -0.02)"
"14","2 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,970","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.91 (0.52, 1.59)","0.00 (-0.02, 0.02)"
"15","2 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","2,106","0.03 (0.02, 0.04)","0.06 (0.04, 0.08)","0.53 (0.36, 0.80)","-0.03 (-0.05, -0.01)"
"16","2 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,050","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.70 (0.52, 0.93)","-0.02 (-0.03, 0.00)"
"17","2 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"18","2 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"19","2 Week Lag","Water","Heavy Rain","Heavy Rain","2,274","0.05 (0.03, 0.07)","0.07 (0.06, 0.09)","0.68 (0.38, 1.23)","-0.02 (-0.06, 0.01)"
"20","2 Week Lag","Water","Heavy Rain","No Heavy Rain","2,982","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","1.08 (0.72, 1.62)","0.00 (-0.02, 0.02)"
"21","2 Week Lag","Water","Total Weekly Precipitation","Above Median","3,021","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.76 (0.48, 1.20)","-0.02 (-0.04, 0.01)"
"22","2 Week Lag","Water","Total Weekly Precipitation","Below Median","2,235","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.24 (0.61, 2.54)","0.01 (-0.02, 0.04)"
"23","2 Week Lag","Water","Heavy Rain","Heavy Rain","1,573","0.05 (0.02, 0.07)","0.06 (0.04, 0.08)","0.74 (0.45, 1.21)","-0.02 (-0.04, 0.01)"
"24","2 Week Lag","Water","Heavy Rain","No Heavy Rain","3,683","0.05 (0.04, 0.07)","0.05 (0.04, 0.07)","0.94 (0.66, 1.35)","0.00 (-0.02, 0.02)"
"25","2 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"26","2 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"27","2 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,248","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.51 (0.32, 0.80)","-0.04 (-0.06, -0.02)"
"28","2 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,948","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.73 (0.48, 1.12)","-0.01 (-0.03, 0.00)"
