"","Variable","Any WASH Intervention","Control"
"1","Children","4965","1956"
"2","Observations","8974","3466"
"3","Households","3051","1203"
"4","Children per household","1.63 (1.59 - 1.66)","1.63 (1.57 - 1.68)"
"5","Age at first measurement (years)","1.59 (1.55 - 1.62)","1.63 (1.58 - 1.68)"
"6","Age at second measurement (years)","2.53 (2.5 - 2.57)","2.52 (2.47 - 2.58)"
"7","Prevalence","343 (6.9%)","197 (10.1%)"
"8","Water","1790","-"
"9","Sanitation","1730","-"
"10","Handwashing","1764","-"
"11","Combined WSH","3690","-"
"12","Mean temperature","26 (25.6 - 26.5)","26.1 (25.4 - 26.8)"
"13","Mean temperature above median","5507 (61.37%)","2141 (61.77%)"
"14","Minimum temperature","24.7 (24.2 - 25.1)","24.7 (24 - 25.4)"
"15","Minimum temperature above median","5499 (61.28%)","2136 (61.63%)"
"16","Maximum temperature","27.3 (26.8 - 27.7)","27.3 (26.6 - 28)"
"17","Maximum temperature above median","5328 (59.37%)","2063 (59.52%)"
"18","Missing temperature values","28 (0.31%)","10 (0.29%)"
"19","In rainy season","4578 (51.01%)","1772 (51.13%)"
"20","Total precipitation","41.7 (36.1 - 47.4)","41.5 (32.4 - 50.7)"
"21","Total preciptiation above median","5183 (57.76%)","2009 (57.96%)"
"22","Heavy rain (1+ days $\geq$ 80th percentile)","3942 (43.93%)","1531 (44.17%)"
"23","Missing precipitation values","0 (0%)","0 (0%)"
